
#rate(req/sec),	 mean(sec),	 total_sent,	 total_recieved,	 get_mean(sec),	                 get_sent,	 get_received,	 put_mean(sec),	 put_sent,	 put_received,	                 delete_mean(sec),	 delete_sent,	 delete_received,	 lost
    50,	0.001031,	   750,	   750,	0.000231,	   462,	   462,	0.002299,	    73,	    73,	0.002321,	   215,	   215,	     0
   100,	0.001121,	  1500,	  1499,	0.000228,	   908,	   907,	0.002506,	   153,	   153,	0.002485,	   439,	   439,	     1
   250,	0.001295,	  3752,	  3752,	0.000218,	  2219,	  2219,	0.002738,	   399,	   399,	0.002895,	  1134,	  1134,	     0
   300,	0.001636,	  4501,	  4486,	0.000301,	  2671,	  2671,	0.004086,	   458,	   452,	0.003418,	  1372,	  1363,	    15
   350,	0.001799,	  5251,	  5230,	0.000528,	  3166,	  3166,	0.004198,	   510,	   501,	0.003577,	  1575,	  1563,	    21
   400,	0.001822,	  6001,	  5976,	0.000507,	  3657,	  3657,	0.003990,	   589,	   582,	0.003834,	  1755,	  1737,	    25
   450,	0.002076,	  6752,	  6727,	0.000839,	  4070,	  4070,	0.004109,	   708,	   699,	0.003899,	  1974,	  1958,	    25
   500,	0.002219,	  7501,	  7473,	0.000902,	  4467,	  4467,	0.004339,	   790,	   781,	0.004093,	  2244,	  2225,	    28
   550,	0.002498,	  8211,	  8178,	0.001203,	  4940,	  4936,	0.004883,	   861,	   850,	0.004300,	  2410,	  2392,	    33
   600,	0.002421,	  9002,	  8972,	0.000819,	  5295,	  5294,	0.004179,	   963,	   961,	0.004894,	  2744,	  2717,	    30
   650,	0.003219,	  9654,	  9619,	0.001941,	  5770,	  5767,	0.005034,	   996,	   989,	0.005146,	  2888,	  2863,	    35
   700,	0.003540,	 10499,	 10474,	0.002891,	  6274,	  6274,	0.004240,	  1051,	  1046,	0.004590,	  3174,	  3154,	    25
   750,	0.006817,	 11249,	 11213,	0.007750,	  6690,	  6683,	0.005210,	  1158,	  1151,	0.005530,	  3401,	  3379,	    36
   800,	0.003557,	 12000,	 11967,	0.002043,	  7182,	  7182,	0.005789,	  1193,	  1183,	0.005822,	  3625,	  3602,	    33
   850,	0.004101,	 12679,	 12642,	0.002794,	  7575,	  7572,	0.005720,	  1310,	  1302,	0.006152,	  3794,	  3768,	    37
   900,	0.004434,	 13333,	 13290,	0.003119,	  7869,	  7867,	0.006363,	  1394,	  1384,	0.006315,	  4070,	  4039,	    43
   950,	0.006212,	 14082,	 14014,	0.005996,	  8399,	  8377,	0.007353,	  1454,	  1438,	0.006251,	  4229,	  4199,	    68
  1000,	0.004025,	 15001,	 14955,	0.002727,	  8944,	  8944,	0.005711,	  1521,	  1512,	0.006019,	  4536,	  4499,	    46
