
#rate(req/sec),	 mean(sec),	 total_sent,	 total_recieved,	 get_mean(sec),	                 get_sent,	 get_received,	 put_mean(sec),	 put_sent,	 put_received,	                 delete_mean(sec),	 delete_sent,	 delete_received,	 lost
    50,	0.000890,	  1501,	  1501,	0.000303,	  1064,	  1064,	0.002320,	   437,	   437,	0.000000,	     0,	     0,	     0
   150,	0.000936,	  4500,	  4498,	0.000286,	  3137,	  3137,	0.002432,	  1363,	  1361,	0.000000,	     0,	     0,	     2
   250,	0.001008,	  7501,	  7500,	0.000274,	  5293,	  5293,	0.002768,	  2208,	  2207,	0.000000,	     0,	     0,	     1
   350,	0.001047,	 10499,	 10490,	0.000276,	  7430,	  7429,	0.002916,	  3069,	  3061,	0.000000,	     0,	     0,	     9
   450,	0.001128,	 13501,	 13485,	0.000267,	  9448,	  9448,	0.003136,	  4053,	  4037,	0.000000,	     0,	     0,	    16
   650,	0.003225,	 19493,	 19467,	0.002512,	 13537,	 13537,	0.004845,	  5956,	  5930,	0.000000,	     0,	     0,	    26
   750,	0.002886,	 22503,	 22484,	0.002387,	 15634,	 15633,	0.004023,	  6869,	  6851,	0.000000,	     0,	     0,	    19
   850,	0.001736,	 25500,	 25464,	0.000819,	 17713,	 17713,	0.003820,	  7787,	  7751,	0.000000,	     0,	     0,	    36
  1050, 0.003602,  31499,  31440, 0.002632,  21964,  21963, 0.005836,   9535,   9477, 0.000000,      0,      0,     59
  1250,	0.004160,	 37507,	 37438,	0.003316,	 26102,	 26102,	0.006090,	 11405,	 11336,	0.000000,	     0,	     0,	    69
  1350, 0.002947,  40495,  40426, 0.001817,  28289,  28288, 0.005566,  12206,  12138, 0.000000,      0,      0,     69
  1450,	0.005561,	 43494,	 43406,	0.004734,	 30495,	 30494,	0.007501,	 12999,	 12912,	0.000000,	     0,	     0,	    88
  1550,	0.003023,	 46498,	 46411,	0.001868,	 32533,	 32531,	0.005714,	 13965,	 13880,	0.000000,	     0,	     0,	    87
  1650, 0.008279,  48928,  48809, 0.008204,  34127,  34126, 0.008453,  14801,  14683, 0.000000,      0,      0,    119
  1750,	0.006319,	 52069,	 51958,	0.005535,	 36583,	 36583,	0.008173,	 15486,	 15375,	0.000000,	     0,	     0,	   111
