
#rate(req/sec),	 mean(sec),	 total_sent,	 total_recieved,	 get_mean(sec),	                 get_sent,	 get_received,	 put_mean(sec),	 put_sent,	 put_received,	                 delete_mean(sec),	 delete_sent,	 delete_received,	 lost
    50,	0.001020,	   751,	   751,	0.000230,	   459,	   459,	0.002267,	    72,	    72,	0.002261,	   220,	   220,	     0
   100,	0.006478,	  1499,	  1496,	0.000219,	   913,	   913,	0.002380,	   146,	   146,	0.020824,	   440,	   437,	     3
   250,	0.001182,	  3752,	  3752,	0.000205,	  2248,	  2248,	0.002665,	   383,	   383,	0.002635,	  1121,	  1121,	     0
   300,	0.001587,	  4502,	  4487,	0.000433,	  2711,	  2711,	0.003262,	   468,	   468,	0.003359,	  1323,	  1308,	    15
   350,	0.001873,	  5250,	  5226,	0.000672,	  3162,	  3162,	0.003648,	   533,	   526,	0.003706,	  1555,	  1538,	    24
   400,	0.001790,	  5999,	  5988,	0.000375,	  3626,	  3626,	0.003973,	   591,	   588,	0.003946,	  1782,	  1774,	    11
   450,	0.001931,	  6749,	  6727,	0.000794,	  4058,	  4058,	0.003596,	   700,	   695,	0.003662,	  1991,	  1974,	    22
   500,	0.002306,	  7501,	  7475,	0.000985,	  4466,	  4466,	0.004492,	   739,	   731,	0.004170,	  2296,	  2278,	    26
   550,	0.002325,	  8253,	  8223,	0.000916,	  4960,	  4960,	0.004267,	   808,	   801,	0.004506,	  2485,	  2462,	    30
   600,	0.002188,	  9002,	  8975,	0.000799,	  5370,	  5370,	0.004153,	   888,	   882,	0.004271,	  2744,	  2723,	    27
   650,	0.002803,	  9749,	  9724,	0.001307,	  5818,	  5818,	0.004916,	   984,	   978,	0.005050,	  2947,	  2928,	    25
   700,	0.003221,	 10500,	 10473,	0.001927,	  6327,	  6327,	0.005598,	  1046,	  1036,	0.005044,	  3127,	  3110,	    27
   750,	0.004186,	 11252,	 11220,	0.003242,	  6659,	  6659,	0.004675,	  1126,	  1125,	0.005838,	  3467,	  3436,	    32
   800,	0.004060,	 11870,	 11832,	0.002902,	  7139,	  7133,	0.005525,	  1196,	  1189,	0.005903,	  3535,	  3510,	    38
   850,	0.004772,	 12752,	 12715,	0.004020,	  7768,	  7768,	0.005583,	  1221,	  1214,	0.006061,	  3763,	  3733,	    37
   900,	0.005159,	 13501,	 13457,	0.004491,	  8096,	  8096,	0.006142,	  1346,	  1333,	0.006164,	  4059,	  4028,	    44
   950,	0.003436,	 14250,	 14206,	0.001911,	  8524,	  8524,	0.004947,	  1391,	  1383,	0.005951,	  4335,	  4299,	    44
  1000,	0.003807,	 15001,	 14956,	0.002332,	  9048,	  9048,	0.006205,	  1482,	  1470,	0.005996,	  4471,	  4438,	    45
