
#rate(req/sec),	 mean(sec),	 total_sent,	 total_recieved,	 get_mean(sec),	                 get_sent,	 get_received,	 put_mean(sec),	 put_sent,	 put_received,	                 delete_mean(sec),	 delete_sent,	 delete_received,	 lost
    50,	0.001288,	   751,	   749,	0.000271,	   468,	   468,	0.003921,	    79,	    77,	0.002603,	   204,	   204,	     2
   100,	0.001072,	  1500,	  1500,	0.000234,	   941,	   941,	0.002542,	   139,	   139,	0.002463,	   420,	   420,	     0
   250,	0.001255,	  3750,	  3749,	0.000244,	  2251,	  2250,	0.002846,	   375,	   375,	0.002750,	  1124,	  1124,	     1
   300,	0.001675,	  4500,	  4483,	0.000381,	  2692,	  2692,	0.003416,	   460,	   458,	0.003665,	  1348,	  1333,	    17
   350,	0.001871,	  5251,	  5229,	0.000558,	  3119,	  3119,	0.004090,	   507,	   500,	0.003698,	  1625,	  1610,	    22
   400,	0.001920,	  6001,	  5985,	0.001008,	  3647,	  3647,	0.003181,	   601,	   599,	0.003386,	  1753,	  1739,	    16
   450,	0.003555,	  6750,	  6727,	0.003013,	  4059,	  4059,	0.004204,	   673,	   668,	0.004429,	  2018,	  2000,	    23
   500,	0.001898,	  7501,	  7478,	0.000739,	  4452,	  4452,	0.003433,	   775,	   771,	0.003644,	  2274,	  2255,	    23
   550,	0.002970,	  8251,	  8226,	0.001873,	  4956,	  4956,	0.004739,	   848,	   840,	0.004580,	  2447,	  2430,	    25
   600,	0.003665,	  9000,	  8971,	0.002835,	  5394,	  5394,	0.005040,	   903,	   894,	0.004863,	  2703,	  2683,	    29
   650,	0.003851,	  9731,	  9632,	0.003251,	  5821,	  5748,	0.004809,	  1002,	   994,	0.004724,	  2908,	  2890,	    99
   700,	0.003678,	 10420,	 10376,	0.002972,	  6239,	  6219,	0.005658,	  1048,	  1039,	0.004423,	  3133,	  3118,	    44
   750,	0.007648,	 11251,	 11226,	0.009394,	  6746,	  6746,	0.004917,	  1101,	  1096,	0.005070,	  3404,	  3384,	    25
   800,	0.005580,	 11974,	 11933,	0.005080,	  7214,	  7206,	0.007094,	  1200,	  1190,	0.006081,	  3560,	  3537,	    41
   850,	0.006847,	 12752,	 12706,	0.007092,	  7699,	  7699,	0.007130,	  1208,	  1195,	0.006269,	  3845,	  3812,	    46
   900,	0.008108,	 13503,	 13460,	0.009045,	  8091,	  8090,	0.006324,	  1330,	  1319,	0.006832,	  4082,	  4051,	    43
   950,	0.009220,	 14250,	 14205,	0.011268,	  8592,	  8592,	0.005749,	  1457,	  1448,	0.006233,	  4201,	  4165,	    45
  1000,	0.004604,	 15003,	 14958,	0.003744,	  8952,	  8951,	0.006485,	  1492,	  1479,	0.005678,	  4559,	  4528,	    45
