
#rate(req/sec),	 mean(sec),	 total_sent,	 total_recieved,	 get_mean(sec),	                 get_sent,	 get_received,	 put_mean(sec),	 put_sent,	 put_received,	                 delete_mean(sec),	 delete_sent,	 delete_received,	 lost
    50,	0.001225,	   749,	   749,	0.000249,	   426,	   426,	0.002718,	    92,	    92,	0.002429,	   231,	   231,	     0
   100,	0.001073,	  1500,	  1500,	0.000215,	   892,	   892,	0.002306,	   164,	   164,	0.002341,	   444,	   444,	     0
   250,	0.001319,	  3750,	  3750,	0.000238,	  2257,	  2257,	0.002921,	   368,	   368,	0.002964,	  1125,	  1125,	     0
   300,	0.001646,	  4499,	  4478,	0.000358,	  2742,	  2741,	0.003800,	   456,	   449,	0.003607,	  1301,	  1288,	    21
   350,	0.001642,	  5251,	  5229,	0.000292,	  3158,	  3158,	0.003339,	   487,	   485,	0.003783,	  1606,	  1586,	    22
   400,	0.002296,	  5994,	  5962,	0.001202,	  3592,	  3588,	0.003680,	   622,	   619,	0.004022,	  1780,	  1755,	    32
   450,	0.002286,	  6751,	  6723,	0.001062,	  4076,	  4076,	0.003848,	   695,	   691,	0.004257,	  1980,	  1956,	    28
   500,	0.002399,	  7502,	  7473,	0.001145,	  4531,	  4531,	0.004193,	   726,	   720,	0.004348,	  2245,	  2222,	    29
   550,	0.002651,	  8252,	  8223,	0.001398,	  4944,	  4943,	0.004312,	   826,	   819,	0.004594,	  2482,	  2461,	    29
   600,	0.003096,	  9001,	  8971,	0.001896,	  5338,	  5338,	0.004464,	   924,	   920,	0.004975,	  2739,	  2713,	    30
   650,	0.004035,	  9751,	  9719,	0.003114,	  5854,	  5853,	0.005785,	   995,	   985,	0.005293,	  2902,	  2881,	    32
   700,	0.003386,	 10500,	 10477,	0.002634,	  6436,	  6436,	0.004431,	  1019,	  1015,	0.004626,	  3045,	  3026,	    23
   750,	0.007024,	 11253,	 11221,	0.007647,	  6735,	  6734,	0.005832,	  1105,	  1101,	0.006180,	  3413,	  3386,	    32
   800,	0.006450,	 12002,	 11966,	0.006518,	  7128,	  7127,	0.006506,	  1213,	  1202,	0.006297,	  3661,	  3637,	    36
   850,	0.006007,	 12753,	 12715,	0.006137,	  7721,	  7721,	0.005648,	  1258,	  1249,	0.005858,	  3774,	  3745,	    38
   900,	0.005818,	 13501,	 13454,	0.005311,	  8159,	  8159,	0.006705,	  1300,	  1288,	0.006557,	  4042,	  4007,	    47
   950,	0.003822,	 14253,	 14211,	0.003255,	  8592,	  8590,	0.004431,	  1451,	  1442,	0.004771,	  4210,	  4179,	    42
  1000,	0.006402,	 15004,	 14957,	0.005927,	  9032,	  9032,	0.007925,	  1521,	  1507,	0.006845,	  4451,	  4418,	    47
