
#rate(req/sec),	 mean(sec),	 total_sent,	 total_recieved,	 get_mean(sec),	                 get_sent,	 get_received,	 put_mean(sec),	 put_sent,	 put_received,	                 delete_mean(sec),	 delete_sent,	 delete_received,	 lost
    50,	0.001128,	   750,	   750,	0.000269,	   461,	   461,	0.002516,	    70,	    70,	0.002494,	   219,	   219,	     0
   100,	0.001226,	  1500,	  1500,	0.000257,	   895,	   895,	0.002733,	   144,	   144,	0.002637,	   461,	   461,	     0
   250,	0.001313,	  3750,	  3750,	0.000255,	  2284,	  2284,	0.002920,	   365,	   365,	0.002974,	  1101,	  1101,	     0
   300,	0.001761,	  4501,	  4482,	0.000462,	  2679,	  2679,	0.003608,	   453,	   448,	0.003694,	  1369,	  1355,	    19
   350,	0.001884,	  5250,	  5224,	0.000545,	  3148,	  3148,	0.003457,	   542,	   538,	0.004039,	  1560,	  1538,	    26
   400,	0.001990,	  6000,	  5975,	0.000758,	  3627,	  3627,	0.003640,	   598,	   595,	0.003952,	  1775,	  1753,	    25
   450,	0.002029,	  6750,	  6727,	0.000871,	  4102,	  4102,	0.004148,	   641,	   632,	0.003717,	  2007,	  1993,	    23
   500,	0.002648,	  7502,	  7477,	0.001561,	  4480,	  4480,	0.004608,	   752,	   744,	0.004144,	  2270,	  2253,	    25
   550,	0.003304,	  8252,	  8223,	0.002288,	  4905,	  4904,	0.004566,	   844,	   838,	0.004869,	  2503,	  2481,	    29
   600,	0.003297,	  9001,	  8971,	0.002194,	  5354,	  5354,	0.004889,	   901,	   895,	0.004925,	  2746,	  2722,	    30
   650,	0.012141,	  9738,	  9711,	0.016729,	  5892,	  5891,	0.004858,	   978,	   971,	0.005198,	  2868,	  2849,	    27
   700,	0.004822,	 10499,	 10475,	0.004915,	  6270,	  6270,	0.004392,	  1021,	  1018,	0.004776,	  3208,	  3187,	    24
   750,	0.004508,	 11249,	 11221,	0.004044,	  6616,	  6616,	0.005366,	  1208,	  1201,	0.005100,	  3425,	  3404,	    28
   800,	0.006443,	 12000,	 11965,	0.006513,	  7263,	  7263,	0.006345,	  1216,	  1208,	0.006332,	  3521,	  3494,	    35
   850,	0.003570,	 12712,	 12673,	0.002251,	  7616,	  7610,	0.006227,	  1234,	  1222,	0.005324,	  3862,	  3841,	    39
   900,	0.008776,	 13503,	 13462,	0.010488,	  8094,	  8094,	0.006033,	  1300,	  1293,	0.006273,	  4109,	  4075,	    41
   950,	0.003715,	 14238,	 14198,	0.002647,	  8428,	  8425,	0.004956,	  1458,	  1450,	0.005366,	  4352,	  4323,	    40
  1000,	0.005105,	 15004,	 14953,	0.003784,	  8993,	  8992,	0.006943,	  1477,	  1465,	0.007128,	  4534,	  4496,	    51
