
#rate(req/sec),	 mean(sec),	 total_sent,	 total_recieved,	 get_mean(sec),	                 get_sent,	 get_received,	 put_mean(sec),	 put_sent,	 put_received,	                 delete_mean(sec),	 delete_sent,	 delete_received,	 lost
    50,	0.001100,	   750,	   750,	0.000236,	   451,	   451,	0.002364,	    78,	    78,	0.002417,	   221,	   221,	     0
   100,	0.001188,	  1501,	  1501,	0.000234,	   868,	   868,	0.002515,	   176,	   176,	0.002488,	   457,	   457,	     0
   250,	0.001323,	  3750,	  3750,	0.000243,	  2287,	  2287,	0.003003,	   389,	   389,	0.003015,	  1074,	  1074,	     0
   300,	0.001563,	  4501,	  4488,	0.000285,	  2665,	  2665,	0.003328,	   450,	   449,	0.003449,	  1386,	  1374,	    13
   350,	0.001981,	  5250,	  5224,	0.000670,	  3119,	  3118,	0.003662,	   528,	   523,	0.003977,	  1603,	  1583,	    26
   400,	0.001980,	  6001,	  5978,	0.000640,	  3636,	  3636,	0.004065,	   558,	   553,	0.004033,	  1807,	  1789,	    23
   450,	0.002221,	  6751,	  6725,	0.000983,	  4008,	  4008,	0.004209,	   720,	   711,	0.003965,	  2023,	  2006,	    26
   500,	0.015449,	  7499,	  7488,	0.022500,	  4494,	  4494,	0.004139,	   746,	   745,	0.005155,	  2259,	  2249,	    11
   550,	0.002959,	  8252,	  8229,	0.002418,	  4897,	  4896,	0.003985,	   827,	   821,	0.003673,	  2528,	  2512,	    23
   600,	0.002417,	  9001,	  8982,	0.001165,	  5377,	  5377,	0.004208,	   874,	   870,	0.004296,	  2750,	  2735,	    19
   650,	0.003157,	  9750,	  9723,	0.002168,	  5919,	  5918,	0.004394,	   954,	   949,	0.004780,	  2877,	  2856,	    27
   700,	0.002971,	 10500,	 10479,	0.001454,	  6280,	  6280,	0.005587,	  1038,	  1032,	0.005112,	  3182,	  3167,	    21
   750,	0.003540,	 11254,	 11222,	0.002096,	  6823,	  6822,	0.005508,	  1076,	  1069,	0.005847,	  3355,	  3331,	    32
   800,	0.005406,	 11952,	 11918,	0.005449,	  7175,	  7171,	0.005230,	  1211,	  1206,	0.005380,	  3566,	  3541,	    34
   850,	0.003883,	 12754,	 12717,	0.002346,	  7647,	  7647,	0.005994,	  1275,	  1269,	0.006247,	  3832,	  3801,	    37
   900,	0.003857,	 13503,	 13454,	0.001974,	  7934,	  7933,	0.007394,	  1447,	  1431,	0.006242,	  4122,	  4090,	    49
   950,	0.004362,	 14254,	 14205,	0.002961,	  8546,	  8545,	0.005990,	  1473,	  1465,	0.006624,	  4235,	  4195,	    49
  1000,	0.004876,	 15002,	 14965,	0.003651,	  9008,	  9008,	0.007355,	  1513,	  1501,	0.006502,	  4481,	  4456,	    37
