
#rate(req/sec),	 mean(sec),	 total_sent,	 total_recieved,	 get_mean(sec),	                 get_sent,	 get_received,	 put_mean(sec),	 put_sent,	 put_received,	                 delete_mean(sec),	 delete_sent,	 delete_received,	 lost
    50,	0.001131,	   751,	   751,	0.000234,	   434,	   434,	0.002378,	    89,	    89,	0.002352,	   228,	   228,	     0
   100,	0.001115,	  1500,	  1499,	0.000236,	   921,	   920,	0.002463,	   132,	   132,	0.002529,	   447,	   447,	     1
   250,	0.001257,	  3751,	  3750,	0.000230,	  2272,	  2271,	0.002771,	   391,	   391,	0.002858,	  1088,	  1088,	     1
   300,	0.001633,	  4500,	  4487,	0.000375,	  2688,	  2688,	0.003634,	   447,	   446,	0.003454,	  1365,	  1353,	    13
   350,	0.001832,	  5252,	  5230,	0.000501,	  3099,	  3099,	0.003762,	   560,	   555,	0.003743,	  1593,	  1576,	    22
   400,	0.001885,	  6001,	  5985,	0.000814,	  3536,	  3536,	0.003526,	   604,	   599,	0.003387,	  1861,	  1850,	    16
   450,	0.002040,	  6751,	  6724,	0.000729,	  4100,	  4099,	0.004180,	   710,	   701,	0.004027,	  1941,	  1924,	    27
   500,	0.002560,	  7501,	  7474,	0.001546,	  4566,	  4566,	0.004520,	   761,	   752,	0.004002,	  2174,	  2156,	    27
   550,	0.002331,	  8252,	  8225,	0.001025,	  4950,	  4950,	0.004480,	   826,	   818,	0.004226,	  2476,	  2457,	    27
   600,	0.003012,	  8975,	  8940,	0.001869,	  5456,	  5448,	0.004972,	   870,	   862,	0.004721,	  2649,	  2630,	    35
   650,	0.003319,	  9752,	  9724,	0.002125,	  5876,	  5876,	0.005577,	  1004,	   993,	0.004971,	  2872,	  2855,	    28
   700,	0.003668,	 10501,	 10476,	0.003054,	  6381,	  6381,	0.004558,	  1014,	  1010,	0.004641,	  3106,	  3085,	    25
   750,	0.004255,	 11256,	 11225,	0.003289,	  6707,	  6705,	0.005925,	  1107,	  1101,	0.005601,	  3442,	  3419,	    31
   800,	0.005582,	 12001,	 11967,	0.005372,	  7193,	  7193,	0.005763,	  1135,	  1129,	0.005938,	  3673,	  3645,	    34
   850,	0.004264,	 12756,	 12725,	0.003151,	  7709,	  7709,	0.005979,	  1250,	  1242,	0.005958,	  3797,	  3774,	    31
   900,	0.006811,	 13505,	 13462,	0.007150,	  8211,	  8211,	0.006120,	  1342,	  1332,	0.006341,	  3952,	  3919,	    43
   950,	0.005305,	 14248,	 14204,	0.004744,	  8562,	  8558,	0.006147,	  1424,	  1416,	0.006149,	  4262,	  4230,	    44
  1000,	0.004359,	 15004,	 14957,	0.003337,	  8985,	  8985,	0.006298,	  1477,	  1465,	0.005748,	  4542,	  4507,	    47
