
#rate(req/sec),	 mean(sec),	 total_sent,	 total_recieved,	 get_mean(sec),	                 get_sent,	 get_received,	 put_mean(sec),	 put_sent,	 put_received,	                 delete_mean(sec),	 delete_sent,	 delete_received,	 lost
    50,	0.001139,	   750,	   750,	0.000235,	   446,	   446,	0.002473,	    82,	    82,	0.002463,	   222,	   222,	     0
   100,	0.001184,	  1500,	  1500,	0.000236,	   888,	   888,	0.002542,	   154,	   154,	0.002567,	   458,	   458,	     0
   250,	0.001215,	  3751,	  3751,	0.000231,	  2296,	  2296,	0.002771,	   363,	   363,	0.002765,	  1092,	  1092,	     0
   300,	0.001681,	  4501,	  4487,	0.000408,	  2642,	  2642,	0.003685,	   466,	   459,	0.003426,	  1393,	  1386,	    14
   350,	0.001915,	  5251,	  5232,	0.000772,	  3211,	  3211,	0.003533,	   532,	   529,	0.003779,	  1508,	  1492,	    19
   400,	0.002032,	  6001,	  5976,	0.000851,	  3625,	  3625,	0.003889,	   633,	   627,	0.003814,	  1743,	  1724,	    25
   450,	0.001894,	  6750,	  6725,	0.000519,	  4110,	  4110,	0.003709,	   671,	   668,	0.004146,	  1969,	  1947,	    25
   500,	0.001960,	  7472,	  7447,	0.000576,	  4523,	  4520,	0.004041,	   786,	   780,	0.004096,	  2163,	  2147,	    25
   550,	0.002024,	  8199,	  8172,	0.000550,	  4976,	  4975,	0.004645,	   841,	   831,	0.004177,	  2382,	  2366,	    27
   600,	0.002784,	  9001,	  8975,	0.001587,	  5426,	  5426,	0.004261,	   850,	   846,	0.004706,	  2725,	  2703,	    26
   650,	0.002572,	  9750,	  9719,	0.001083,	  5911,	  5910,	0.005058,	  1008,	   999,	0.004797,	  2831,	  2810,	    31
   700,	0.003045,	 10502,	 10471,	0.001663,	  6330,	  6329,	0.004916,	  1051,	  1047,	0.005219,	  3121,	  3095,	    31
   750,	0.003098,	 11251,	 11225,	0.001973,	  6738,	  6738,	0.005466,	  1130,	  1121,	0.004548,	  3383,	  3366,	    26
   800,	0.004094,	 12001,	 11967,	0.002908,	  7204,	  7204,	0.006473,	  1157,	  1148,	0.005684,	  3640,	  3615,	    34
