
#rate(req/sec),	 mean(sec),	 total_sent,	 total_recieved,	 get_mean(sec),	                 get_sent,	 get_received,	 put_mean(sec),	 put_sent,	 put_received,	                 delete_mean(sec),	 delete_sent,	 delete_received,	 lost
    50,	0.001097,	   749,	   749,	0.000233,	   457,	   457,	0.002448,	    72,	    72,	0.002448,	   220,	   220,	     0
   100,	0.001137,	  1500,	  1500,	0.000231,	   910,	   910,	0.002554,	   116,	   116,	0.002532,	   474,	   474,	     0
   250,	0.001256,	  3751,	  3750,	0.000225,	  2273,	  2272,	0.002831,	   354,	   354,	0.002847,	  1124,	  1124,	     1
   300,	0.001600,	  4501,	  4489,	0.000334,	  2716,	  2716,	0.003634,	   479,	   478,	0.003485,	  1306,	  1295,	    12
   350,	0.001911,	  5251,	  5225,	0.000628,	  3134,	  3133,	0.003926,	   537,	   529,	0.003772,	  1580,	  1563,	    26
   400,	0.001847,	  6001,	  5974,	0.000457,	  3600,	  3600,	0.004531,	   567,	   553,	0.003746,	  1834,	  1821,	    27
   450,	0.001680,	  6750,	  6731,	0.000536,	  4047,	  4047,	0.003350,	   687,	   683,	0.003408,	  2016,	  2001,	    19
   500,	0.002127,	  7501,	  7475,	0.000787,	  4520,	  4520,	0.004351,	   764,	   754,	0.004095,	  2217,	  2201,	    26
   550,	0.002188,	  8201,	  8175,	0.000821,	  4908,	  4906,	0.004427,	   826,	   819,	0.004159,	  2467,	  2450,	    26
   600,	0.002662,	  8999,	  8974,	0.001577,	  5403,	  5403,	0.005005,	   879,	   869,	0.004060,	  2717,	  2702,	    25
   650,	0.002785,	  9752,	  9727,	0.001504,	  5889,	  5889,	0.004476,	   952,	   949,	0.004825,	  2911,	  2889,	    25
